X, Y, Z
-4.000000000000000000e+00,-2,20.6662750244141
-4.000000000000000000e+00,-1.5,29.6663284301758
-4.000000000000000000e+00,-1,32.7565040588379
-4.000000000000000000e+00,-0.5,33.9784202575684
-4.000000000000000000e+00,0,34.7848014831543
-4.000000000000000000e+00,0.5,35.4635238647461
-4.000000000000000000e+00,1,36.0319938659668
-4.000000000000000000e+00,1.5,36.3301734924316
-4.000000000000000000e+00,2,35.6401519775391
-4.000000000000000000e+00,2.5,31.5844306945801
-4.000000000000000000e+00,3,21.8712711334228
-4.000000000000000000e+00,3.5,12.1947956085205
-4.000000000000000000e+00,4,5.4005651473999
-4.000000000000000000e+00,4.5,-2.45785331726074
-4.000000000000000000e+00,5,-12.7789011001587
-4.000000000000000000e+00,5.5,-21.1342391967773
-4.000000000000000000e+00,6,-30.8207626342773
-4.000000000000000000e+00,6.5,-44.5146064758301
-4.000000000000000000e+00,7,-60.1830368041992
-4.000000000000000000e+00,7.5,-77.5203323364258
-4.000000000000000000e+00,8,-97.4879302978515
-4.000000000000000000e+00,8.5,-113.901473999023
-4.000000000000000000e+00,9,-123.123992919922
-4.000000000000000000e+00,9.5,-130.034469604492
-4.000000000000000000e+00,10,-138.338073730469
-4.000000000000000000e+00,-10,-240.813842773438
-3.500000000000000000e+00,-9.5,-239.635726928711
-3.500000000000000000e+00,-9,-235.01921081543
-3.500000000000000000e+00,-8.5,-221.179641723633
-3.500000000000000000e+00,-8,-191.846145629883
-3.500000000000000000e+00,-7.5,-152.076995849609
-3.500000000000000000e+00,-7,-113.440444946289
-3.500000000000000000e+00,-6.5,-85.9920883178711
-3.500000000000000000e+00,-6,-72.0910491943359
-3.500000000000000000e+00,-5.5,-64.8773040771485
-3.500000000000000000e+00,-5,-57.9347610473633
-3.500000000000000000e+00,-4.5,-48.4388008117676
-3.500000000000000000e+00,-4,-36.2769241333008
-3.500000000000000000e+00,-3.5,-22.4042263031006
-3.500000000000000000e+00,-3,-9.7890100479126
-3.500000000000000000e+00,-2.5,1.06058621406555
-3.500000000000000000e+00,-2,13.8536739349365
-3.500000000000000000e+00,-1.5,22.407865524292
-3.500000000000000000e+00,-1,25.2823524475098
-3.500000000000000000e+00,-0.5,26.4360389709473
-3.500000000000000000e+00,0,27.2143611907959
-3.500000000000000000e+00,0.5,27.8782043457031
-3.500000000000000000e+00,1,28.4347381591797
-3.500000000000000000e+00,1.5,28.7062797546387
-3.500000000000000000e+00,2,27.9182147979736
-3.500000000000000000e+00,2.5,23.5796337127686
-3.500000000000000000e+00,3,13.6171455383301
-3.500000000000000000e+00,3.5,4.1222095489502
-3.500000000000000000e+00,4,-2.15811109542847
-3.500000000000000000e+00,4.5,-9.11696529388428
-3.500000000000000000e+00,5,-19.3759918212891
-3.500000000000000000e+00,5.5,-29.1551208496094
-3.500000000000000000e+00,6,-40.2282066345215
-3.500000000000000000e+00,6.5,-53.5355567932129
-3.500000000000000000e+00,7,-68.6501388549805
-3.500000000000000000e+00,7.5,-86.1091003417969
-3.500000000000000000e+00,8,-106.16015625
